matrix,source,target
PanamaCity,Common sense regulations,Severity of penalty
PanamaCity,Common sense regulations,Shark harvest
PanamaCity,Compliance rate,Recreational quota overage
PanamaCity,Council process bias level,Common sense regulations
PanamaCity,Data availability (recreational),Recreational quota overage
PanamaCity,Data timelines,Common sense regulations
PanamaCity,Discard mortality,Snapper/Grouper Population
PanamaCity,Dolphin behavior,Discard mortality
PanamaCity,Enforcement level,Compliance rate
PanamaCity,Equality of representation,Council process bias level
PanamaCity,Fishing mortality,Snapper/Grouper Population
PanamaCity,FW Pulses MS River,Bait abundance
PanamaCity,Gear loss,Costs
PanamaCity,Hook size,Turtle bycatch
PanamaCity,Lionfish,Bait abundance
PanamaCity,Lionfish,Snapper/Grouper Population
PanamaCity,Local supply,Market demand
PanamaCity,Market demand,Price of fish
PanamaCity,Opportunity to give input,Council process bias level
PanamaCity,Permits/revenue for management,Enforcement level
PanamaCity,Pollution (red tide),Bait abundance
PanamaCity,Price of fish,Price of allocation
PanamaCity,Recreational quota overage,Fishing mortality
PanamaCity,Season length (recreation),Discard mortality
PanamaCity,Season length (recreation),Local culture/heritage (fishing during weekends)
PanamaCity,Season length (recreation),Tourism
PanamaCity,Severity of penalty,Compliance rate
PanamaCity,Shark fecundity,Shark Population Abundance
PanamaCity,Shark harvest,Hook size
PanamaCity,Shark harvest,Turtle bycatch
PanamaCity,Shark Population Abundance,Gear loss
PanamaCity,Shark Population Abundance,Shark bites
PanamaCity,Shark Population Abundance,Shark fecundity
PanamaCity,Shark Population Abundance,Snapper/Grouper Population
PanamaCity,Snapper/Grouper Population,Price of allocation
PanamaCity,Snapper/Grouper Population,Shark fecundity
PanamaCity,Technology,Data availability (recreational)
PineIsl,Abundance of Bait,Goliath Grouper
PineIsl,Allocation Price & Availability,Cost of Fishing
PineIsl,Allocation Price & Availability,Grouper Landings
PineIsl,Allocation Price & Availability,Snapper Population
PineIsl,Boats From Other Areas,Fishing Pressure
PineIsl,Boats From Other Areas,Grouper Population
PineIsl,Charter Demand,Revenue
PineIsl,Coral Habitat Quality,Juvenile Mortality
PineIsl,Cost of Fishing,Revenue
PineIsl,Currents,Red Tide
PineIsl,Currents,Thermocline
PineIsl,Customer Satisfaction,Charter Demand
PineIsl,Customer Satisfaction,Tourism
PineIsl,Discard Mortality,Fishing Efficiency
PineIsl,Distance to Fishing Grounds,Fuel Costs
PineIsl,Domestic Price,Local Consumption
PineIsl,Domestic Price,Revenue
PineIsl,Exit fishery or part time fishing,Community Impacts
PineIsl,Fishing During Spawning,Grouper Population
PineIsl,Fishing Efficiency,Grouper Landings
PineIsl,Fishing Pressure,Grouper Population
PineIsl,Fixed Costs,Cost of Fishing
PineIsl,Fuel Costs,Cost of Fishing
PineIsl,Fuel Costs,Num Rec Anglers (Unknown)
PineIsl,Gary Water Discharge Sewage,Lake OK Discharge
PineIsl,Gary Water Discharge Sewage,Water Quality
PineIsl,Goliath Grouper,Coral Habitat Quality
PineIsl,Goliath Grouper,Juvenile Mortality
PineIsl,Goverment Regulation,Allocation Price & Availability
PineIsl,Goverment Regulation,Fishing During Spawning
PineIsl,Goverment Regulation,Goliath Grouper
PineIsl,Goverment Regulation,Net Mesh Size
PineIsl,Goverment Regulation,Regulatory Complexity
PineIsl,Goverment Regulation,Shark Populaiton
PineIsl,Green Algea,Water Quality
PineIsl,Grouper Landings,Revenue
PineIsl,Grouper Population,Grouper Landings
PineIsl,Grouper Population,Invasive Spp. Lionfish
PineIsl,Grouper Population,Rec Landings (Unknown)
PineIsl,Health Issues,Community Impacts
PineIsl,Health Issues,Negative Publicity
PineIsl,Human Population,Water Quality
PineIsl,Hurricane Irma,Lake OK Discharge
PineIsl,Import Price,Local Consumption
PineIsl,Invasive Spp. Lionfish,Grouper Population
PineIsl,Invasive Spp. Lionfish,Juvenile Mortality
PineIsl,Juvenile Mortality,Grouper Population
PineIsl,Juvenile Mortality,Nursery/Estuary
PineIsl,Lake OK Discharge,Green Algea
PineIsl,Lake OK Discharge,Pestacides Pollutants
PineIsl,Lake OK Discharge,Red Tide
PineIsl,Local Consumption,Health Issues
PineIsl,Mortality of Adults,Grouper Population
PineIsl,Mullet,Grouper Population
PineIsl,Nearshore Restoration of Clams,Water Quality
PineIsl,Negative Publicity,Real Estate Value and Sales
PineIsl,Negative Publicity,Rec Fishing Opportunities
PineIsl,Negative Publicity,Tourism
PineIsl,Net Mesh Size,Mullet
PineIsl,Nitrogen Removal by Oysters,Water Quality
PineIsl,No Financial Support,Exit fishery or part time fishing
PineIsl,Num Rec Anglers (Unknown),Rec Landings (Unknown)
PineIsl,Nursery/Estuary,Grouper Population
PineIsl,Odors and Fumes,Real Estate Value and Sales
PineIsl,Offshore Winds,Red Tide
PineIsl,Oyster Reefs,Nitrogen Removal by Oysters
PineIsl,Oyster Reefs,Water Quality
PineIsl,Pestacides Pollutants,Water Quality
PineIsl,Real Estate Value and Sales,Rec Fishing Opportunities
PineIsl,Rec Fishing Opportunities,Community Impacts
PineIsl,Rec Landings (Unknown),Grouper Landings
PineIsl,Red Tide,Water Quality
PineIsl,Regulatory Complexity,Fishing Efficiency
PineIsl,Revenue,Exit fishery or part time fishing
PineIsl,Sahara Dust,Red Tide
PineIsl,Shark Populaiton,Fishing Efficiency
PineIsl,Snapper Population,Discard Mortality
PineIsl,Snapper Population,Fishing Efficiency
PineIsl,Thermocline,Red Tide
PineIsl,Tourism,Charter Demand
PineIsl,Tourism,Local Consumption
PineIsl,Water Quality,Abundance of Bait
PineIsl,Water Quality,African Pompano
PineIsl,Water Quality,Aquaculture
PineIsl,Water Quality,Bay Scallops
PineIsl,Water Quality,Blue Crab
PineIsl,Water Quality,Boats From Other Areas
PineIsl,Water Quality,Clams aquaculture
PineIsl,Water Quality,Coral Habitat Quality
PineIsl,Water Quality,Disruption of Migration
PineIsl,Water Quality,Distance to Fishing Grounds
PineIsl,Water Quality,Grouper Population
PineIsl,Water Quality,Health Issues Infection
PineIsl,Water Quality,Juvenile Mortality
PineIsl,Water Quality,Mackerel
PineIsl,Water Quality,Mortality of Adults
PineIsl,Water Quality,Shrimp
PineIsl,Water Quality,Stone Crab
PineIsl,Water Quality,Tourism
PineIsl,Water Quality,Triggerfish
PineIsl,Water Quality,Trout
PineIsl,Watershed Management,Water Quality
PineIsl,Winter Water Temps,Red Tide
StPete,Adult Habitat,Fish Dist
StPete,Adult Habitat,Growth
StPete,Adult Habitat,Mating Behavior
StPete,Adult Habitat,Prey Availability
StPete,Coastal Dev,Estuarine Habitat
StPete,Coastal Dev,Fishing Pressure
StPete,Coastal Dev,Freshwater Input
StPete,Coastal Dev,Tourism
StPete,Currents,Red Tide
StPete,Currents,Strong year class recruit
StPete,Estuarine Habitat,Juvenile Gag
StPete,Estuarine Habitat,Prey Availability
StPete,F,Snapper/ Grouper Pop
StPete,Fish Dist,Reproductive Output
StPete,Fishing Pressure,Juvanescence
StPete,Fishing Pressure,Snapper/ Grouper Pop
StPete,Freshwater Input,Nearshore Temp
StPete,Freshwater Input,Pollution
StPete,Freshwater Input,Red Tide
StPete,Fuel Price,Fishing Pressure
StPete,Growth,Snapper/ Grouper Pop
StPete,Hurricanes,Fish Dist
StPete,Hurricanes,Fishing Pressure
StPete,Imports,Market Price
StPete,Juvanescence,Growth
StPete,Juvanescence,Reproductive Output
StPete,Juvenile Gag,Strong year class recruit
StPete,M (0.2),Snapper/ Grouper Pop
StPete,Market Price,Fishing Pressure
StPete,Mating Behavior,Reproductive Output
StPete,Nearshore Temp,Red Tide
StPete,Offshore Temperature,Adult Habitat
StPete,Oil Spills,Adult Habitat
StPete,Oil Spills,Fish Dist
StPete,Oil Spills,Fishing Pressure
StPete,Oil Spills,Prey Availability
StPete,Pollution,Red Tide
StPete,Prey Availability,Growth
StPete,Prey Availability,Snapper/ Grouper Pop
StPete,Red Tide,Fish Dist
StPete,Red Tide,M (0.2)
StPete,Reproductive Output,Strong year class recruit
StPete,"Seasons, Areas Licenses",Fishing Pressure
StPete,"Seasons, Areas Licenses",Tourism
StPete,Shrimping (trawling),Adult Habitat
StPete,Shrimping (trawling),F
StPete,Strong year class recruit,Snapper/ Grouper Pop
StPete,Tourism,Coastal Dev
StPete,Tourism,Fishing Pressure
StPete,Upwelling (low DO),Fish Dist
StPete,Upwelling (low DO),Prey Availability
StPete,Weather,Fishing Pressure
StPete,Weather,Tourism
